category,situation,prompt,response_a,response_b,human_choice
Handling Criticism,Harsh review,I received a harsh review from my coworker that felt more personal than helpful.,Dismiss the whole review since the tone felt unfair.,Separate the useful points from the tone and ask a focused follow-up.,1
Public Speaking,Feedback after talk,My neighbor gives me feedback on a talk I just gave.,Explain the choices you made before hearing them out fully.,Ask what specifically landed and what didn't.,1
Teamwork,Silent teammate,My neighbor rarely speaks up in team discussions.,Ask for their input directly during discussions.,Let them contribute in writing afterward instead of asking directly.,0
Starting Conversations,Elevator moment,I'm stuck in an elevator with my teammate and it's silent.,"Make a light, easy comment about the situation to break the ice.",Stay quiet since small talk in short moments can feel forced.,0
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my cousin.,Answer as quickly as possible to avoid an awkward silence.,"Take a breath, repeat the question in your own words, then answer.",1
Public Speaking,Feedback after talk,My mentor gives me feedback on a talk I just gave.,Ask what specifically landed and what didn't.,Explain the choices you made before hearing them out fully.,0
Making Friends,New environment,I just started somewhere new with my manager and want to build a friendship.,Try to befriend the most popular person first to meet others faster.,Show consistent interest over time and remember details they share.,1
Empathy,Fear of change,My study partner is scared about an upcoming change in their life.,Ask what specifically worries them before offering reassurance.,Tell them there's nothing to worry about and it'll be fine.,0
Handling Criticism,Friend's honest opinion,My sibling told me honestly they didn't like something I made.,Assume they just don't understand what you were going for.,Ask what specifically didn't work for them.,1
Handling Criticism,Manager feedback,My roommate gave me critical feedback on something I worked hard on.,Explain the reasons behind your choices before agreeing to change anything.,Thank them for the feedback and ask a specific question about improving.,1
Conflict Resolution,Shared space,My manager keeps leaving a mess and it's bothering me.,Bring it up calmly in person and suggest a system that works for both of you.,Leave it as is until they notice the problem themselves.,0
Active Listening,Upset call,My study partner calls me upset and I'm not sure what to say.,Offer solutions quickly so the problem feels handled.,Let them talk it out and ask what happened next instead of jumping to solutions.,1
Active Listening,Friend venting,My teammate is venting to me about a hard day.,Share a similar hard day you had so they know you understand.,Put distractions away and ask a follow-up question before offering advice.,1
Setting Boundaries,Financial boundary,My classmate asks to borrow money more often than feels comfortable.,Set a clear limit and explain it kindly.,Lend it each time to avoid an uncomfortable conversation.,0
Workplace Communication,Cross-team request,I need something from my neighbor on another team that isn't their priority.,Follow up frequently until they get to it.,Explain clearly why it matters and ask what timeline works.,1
Teamwork,Decision paralysis,My classmate and the team can't decide on next steps.,Wait for someone else to take the lead on deciding.,Propose a clear deadline for the decision and a simple way to choose.,1
Handling Criticism,Performance review,My cousin gave me a performance review lower than expected.,Ask for specific examples so you understand exactly what to improve.,Push back on the rating before hearing the full explanation.,0
Nonverbal Communication,Distracted listener,My close friend seems distracted while I'm talking to them.,Keep talking at the same pace regardless.,Pause briefly and check in before continuing.,1
Starting Conversations,Event mingling,I'm at an event where my neighbor is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Teamwork,Missed deadline,My classmate missed a deadline that affected the whole team.,Ask what happened and work together on a recovery plan.,Point out the missed deadline in front of the team.,0
Assertiveness,Overloaded schedule,My roommate keeps adding to my workload without checking capacity.,Take on everything without comment and try to work faster.,State clearly what's already on your plate and ask them to help prioritize.,1
Handling Criticism,Creative project,My roommate criticized a creative project I'm proud of.,Change the project significantly based on this one comment.,Consider which parts resonate with your own doubts and set aside the rest.,1
Teamwork,New teammate,My coworker just joined the team and seems unsure of their role.,Check in directly and walk through how the team works.,Let them observe for a while so they can figure it out on their own.,0
Teamwork,Decision paralysis,My roommate and the team can't decide on next steps.,Propose a clear deadline for the decision and a simple way to choose.,Wait for someone else to take the lead on deciding.,0
Empathy,Health scare,My cousin just got concerning medical news.,Immediately research solutions and send them information.,Ask how they're feeling about it and what kind of support they want.,1
Public Speaking,Losing the audience,I notice my roommate and others checking their phones while I present.,"Pause, ask a quick question to re-engage the room, then continue.",Speak faster to get through the remaining content.,0
Nonverbal Communication,Tense meeting,My close friend seems tense during a meeting and it's affecting the room.,Keep your own tone calm and open to help ease the tension.,Match their tense energy so the seriousness is clear.,0
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my roommate at work.,Choose a private setting and lead with the specific concern.,Bring it up casually in a group setting to soften it.,0
Workplace Communication,Onboarding question,I have a lot of questions as I onboard and don't want to bother my close friend.,Batch your questions and ask them at a natural check-in time.,Avoid asking and try to figure everything out on your own.,0
Starting Conversations,New coworker,My old friend just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Setting Boundaries,Time boundary,My roommate tends to run long in conversations when I have limited time.,Let them know upfront how much time you have.,Let the conversation run long to avoid seeming rude.,0
Assertiveness,Overloaded schedule,My team lead keeps adding to my workload without checking capacity.,State clearly what's already on your plate and ask them to help prioritize.,Take on everything without comment and try to work faster.,0
Handling Criticism,Group critique,My cousin criticizes my idea in front of the whole group.,Respond calmly in the moment and reflect on it more afterward.,Defend the idea strongly right there to save face.,0
Workplace Communication,Disagreeing publicly,My manager says something inaccurate in a meeting with others present.,Note it calmly in the meeting or follow up privately after.,Correct them firmly in front of everyone right away.,0
Handling Criticism,Manager feedback,My manager gave me critical feedback on something I worked hard on.,Thank them for the feedback and ask a specific question about improving.,Explain the reasons behind your choices before agreeing to change anything.,0
Conflict Resolution,Shared space,My study partner keeps leaving a mess and it's bothering me.,Bring it up calmly in person and suggest a system that works for both of you.,Leave it as is until they notice the problem themselves.,0
Making Friends,New parent friend,My neighbor and I are both new parents and could become friends.,Wait until you run into each other again to suggest anything.,"Suggest a specific low-pressure plan, like a walk with the kids.",1
Nonverbal Communication,Distracted listener,My manager seems distracted while I'm talking to them.,Pause briefly and check in before continuing.,Keep talking at the same pace regardless.,0
Public Speaking,Technical explanation,"I need to explain something technical to my mentor, who isn't familiar with it.","Start with the simplest version, then add detail if they ask.",Explain it exactly the way you'd explain it to an expert.,0
Active Listening,Emotional topic,My neighbor brings up something emotional and I want to respond well.,Reassure them quickly that everything will be fine.,"Slow down, make eye contact, and let them finish before speaking.",1
Nonverbal Communication,Comforting someone,My manager is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Handling Criticism,Public correction,My teammate corrected a mistake I made in front of others.,Acknowledge the correction calmly and thank them.,Correct them back on something minor later to feel even.,0
Empathy,Feeling excluded,My old friend mentions feeling left out of a group.,"Validate the feeling before figuring out what, if anything, to do next.",Tell them they're overreacting and it's probably not personal.,0
Starting Conversations,New coworker,My coworker just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Handling Criticism,Creative project,My manager criticized a creative project I'm proud of.,Change the project significantly based on this one comment.,Consider which parts resonate with your own doubts and set aside the rest.,1
Workplace Communication,Difficult email,I need to email my manager about a mistake that affected me.,State the issue factually and propose next steps.,Cc other people right away so the issue is taken seriously.,0
Assertiveness,Price disagreement,I think what my coworker is charging or asking for is too much.,Ask directly for the reasoning and mention your expectation.,Accept it to avoid an awkward conversation.,0
Making Friends,Deepening a friendship,I want my friendship with my mentor to feel closer.,Do more favors for them so they feel obligated to get closer.,Share something a bit more personal and see how they respond.,1
Handling Criticism,Unsolicited critique,My cousin critiques something I didn't ask for feedback on.,Thank them briefly and decide later what's actually useful.,Explain why their critique doesn't apply in this case.,0
Assertiveness,Disrespected opinion,My classmate dismisses my opinion in front of others.,Restate your point calmly and ask to be heard fully.,"Stay quiet in the moment and bring it up much later, if at all.",0
Handling Criticism,Criticism of a decision,My neighbor criticizes a decision I already made.,"Hear them out and note it for future decisions, even if it's done.",Explain in detail why the decision was the only reasonable option.,0
Starting Conversations,Group setting,I want to join a conversation my study partner is already having with others.,Wait for a full pause before jumping in with a new topic.,"Listen for a moment, then add something relevant to what's being said.",1
Teamwork,Unequal recognition,My teammate gets recognized more than others despite similar effort.,Work harder to try to get noticed the same way.,Mention the imbalance to whoever leads recognition decisions.,1
Handling Criticism,Harsh review,I received a harsh review from my new employee that felt more personal than helpful.,Dismiss the whole review since the tone felt unfair.,Separate the useful points from the tone and ask a focused follow-up.,1
Making Friends,Reconnecting,I lost touch with my manager and want to reconnect naturally.,"Send a short, warm message referencing a specific good memory.",Call them and explain in detail why you drifted apart.,0
Teamwork,Missed deadline,My old friend missed a deadline that affected the whole team.,Point out the missed deadline in front of the team.,Ask what happened and work together on a recovery plan.,1
Public Speaking,Unexpected question,My cousin asks a question during my talk that I don't know the answer to.,Give a general answer that sounds confident either way.,Admit you're not sure and offer to follow up after finding out.,1
Making Friends,New city,I moved somewhere new and want to build a friendship with my sibling.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Nonverbal Communication,Crossed arms,My neighbor has their arms crossed and seems distant.,Mirror their crossed arms so the conversation feels balanced.,Soften your own body language and ask an open question.,1
Active Listening,Complaint,My mentor is complaining about something that affects them directly.,Apologize briefly and move on to explaining the policy or reasoning.,Repeat their concern back in your own words before responding.,1
Empathy,Pre-exam anxiety,My neighbor tells me they're anxious about a big test or evaluation.,Tell them they'll definitely do fine since they usually do.,Ask what part feels hardest and just listen.,1
Empathy,Financial stress,My teammate hints at financial stress without saying it outright.,Let them bring it up fully in their own time rather than pressing.,Offer money right away to solve the problem quickly.,0
Setting Boundaries,Borrowed items,My roommate borrows things and often returns them late or damaged.,Tell them directly what you need going forward.,Stop mentioning it and quietly avoid lending to them again.,0
Nonverbal Communication,Tone mismatch,My mentor says they're fine but their tone suggests otherwise.,Take their words at face value and move on.,Gently note the mismatch and ask if they want to talk about it.,1
Conflict Resolution,Public disagreement,My mentor disagreed with me in front of others.,Stay calm in the moment and follow up with them privately after.,Push back just as strongly in front of the same group.,0
Nonverbal Communication,Tense meeting,My teammate seems tense during a meeting and it's affecting the room.,Match their tense energy so the seriousness is clear.,Keep your own tone calm and open to help ease the tension.,1
Public Speaking,Nervous before presenting,I have to present tomorrow with my sibling in the room and I'm nervous.,Write out the entire speech word for word and read from the page.,Practice out loud a few times and focus on your main message.,1
Assertiveness,Speaking up in group,I disagree with the direction my old friend and the group are taking.,"Voice your concern clearly once, with your reasoning.",Stay quiet since the group already seems to agree.,0
Public Speaking,Technical explanation,"I need to explain something technical to my cousin, who isn't familiar with it.",Explain it exactly the way you'd explain it to an expert.,"Start with the simplest version, then add detail if they ask.",1
Setting Boundaries,Space boundary,My new employee drops by unannounced more than I'd like.,Let it continue and just seem busy when they show up.,Ask them kindly to check in before coming over.,1
Handling Criticism,Written feedback,My classmate left written feedback that's hard to interpret in tone.,Ask a quick clarifying question rather than assuming the worst tone.,Assume the harshest possible tone and respond defensively.,0
Conflict Resolution,Miscommunication,My cousin misunderstood something I said and got upset.,Assume it will blow over on its own without addressing it.,Clarify what you meant calmly and ask how they took it.,1
Conflict Resolution,Boundary crossed,My mentor crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Setting Boundaries,Personal questions,My coworker keeps asking about my personal life in ways that feel intrusive.,Answer fully each time so you don't seem unfriendly.,Politely redirect the conversation and keep answers brief.,1
Making Friends,Shared hobby,My study partner likes the same hobby as me and I want to build a friendship.,Message them frequently about the hobby to build common ground fast.,Suggest doing the hobby together at a low-pressure time.,1
Conflict Resolution,Group project friction,My study partner and I clash on a shared project.,"Propose a short conversation focused only on the project, not personalities.",Split the work in half and avoid talking about the disagreement.,0
Nonverbal Communication,Distracted listener,My mentor seems distracted while I'm talking to them.,Pause briefly and check in before continuing.,Keep talking at the same pace regardless.,0
Making Friends,New city,I moved somewhere new and want to build a friendship with my neighbor.,Attend as many one-off events with them as possible.,Suggest a regular low-key activity together so contact becomes natural.,1
Handling Criticism,Creative project,My mentor criticized a creative project I'm proud of.,Change the project significantly based on this one comment.,Consider which parts resonate with your own doubts and set aside the rest.,1
Public Speaking,Status update,I need to give my sibling a short status update on my work.,"Lead with the headline result, then add detail only if asked.",Walk through the process step by step in the order it happened.,0
Conflict Resolution,Boundary crossed,My team lead crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Nonverbal Communication,Tone mismatch,My coworker says they're fine but their tone suggests otherwise.,Gently note the mismatch and ask if they want to talk about it.,Take their words at face value and move on.,0
Active Listening,Giving updates,My team lead is giving me a project update I need to fully understand.,Take notes and summarize back the key points before responding.,Listen loosely since you can always ask questions later if needed.,0
Public Speaking,Unexpected question,My study partner asks a question during my talk that I don't know the answer to.,Admit you're not sure and offer to follow up after finding out.,Give a general answer that sounds confident either way.,0
Public Speaking,Recorded presentation,I'm recording a presentation my sibling will watch later.,Keep it concise and structured since there's no live back-and-forth.,"Include everything you might normally say live, just in case.",0
Setting Boundaries,Repeated favors,My team lead keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Empathy,Friend's loss,My study partner just lost a family member and I don't know what to say.,Acknowledge the loss simply and offer to help with something concrete.,Give them space and wait until they bring it up themselves.,0
Assertiveness,Price disagreement,I think what my neighbor is charging or asking for is too much.,Ask directly for the reasoning and mention your expectation.,Accept it to avoid an awkward conversation.,0
Empathy,Friend's loss,My roommate just lost a family member and I don't know what to say.,Give them space and wait until they bring it up themselves.,Acknowledge the loss simply and offer to help with something concrete.,1
Workplace Communication,Disagreeing publicly,My cousin says something inaccurate in a meeting with others present.,Correct them firmly in front of everyone right away.,Note it calmly in the meeting or follow up privately after.,1
Public Speaking,Pitching an idea,I'm pitching an idea to my new employee and want it to land well.,Open with the problem and why it matters before the solution.,Open with every detail of the solution so nothing is missed.,0
Empathy,Friend's loss,My cousin just lost a family member and I don't know what to say.,Give them space and wait until they bring it up themselves.,Acknowledge the loss simply and offer to help with something concrete.,1
Empathy,Financial stress,My team lead hints at financial stress without saying it outright.,Let them bring it up fully in their own time rather than pressing.,Offer money right away to solve the problem quickly.,0
Setting Boundaries,Financial boundary,My close friend asks to borrow money more often than feels comfortable.,Lend it each time to avoid an uncomfortable conversation.,Set a clear limit and explain it kindly.,1
Conflict Resolution,Broken promise,My classmate didn't follow through on something they promised.,"Mention it calmly and ask what happened, without assuming the worst.",Stop relying on them without saying anything about why.,0
Active Listening,Giving updates,My old friend is giving me a project update I need to fully understand.,Listen loosely since you can always ask questions later if needed.,Take notes and summarize back the key points before responding.,1
Setting Boundaries,Repeated favors,My mentor keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Assertiveness,Last-minute request,My study partner asks me for a last-minute favor I can't really do.,Agree and rearrange your own plans to make it work.,"Say clearly that you can't this time, without a long justification.",1
Making Friends,Quiet acquaintance,My cousin is quiet and seems like they'd be a good friend but rarely talks.,Approach them one-on-one and mention something specific you noticed.,Include them in bigger group activities and wait for them to open up.,0
Setting Boundaries,Financial boundary,My neighbor asks to borrow money more often than feels comfortable.,Set a clear limit and explain it kindly.,Lend it each time to avoid an uncomfortable conversation.,0
Public Speaking,Unexpected question,My team lead asks a question during my talk that I don't know the answer to.,Give a general answer that sounds confident either way.,Admit you're not sure and offer to follow up after finding out.,1
Teamwork,Uneven workload,My classmate isn't doing their share of the work.,Talk to them privately about specific tasks and ask what's going on.,Quietly redo their part yourself so the project doesn't suffer.,0
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my teammate and many others.,Pick one or two friendly faces in the room to speak toward.,Avoid eye contact so you don't get more nervous.,0
Handling Criticism,Vague criticism,My teammate gives criticism that's vague and hard to act on.,Guess at what they meant and adjust based on that guess.,Ask for a specific example to understand what they mean.,1
Conflict Resolution,Shared space,My coworker keeps leaving a mess and it's bothering me.,Leave it as is until they notice the problem themselves.,Bring it up calmly in person and suggest a system that works for both of you.,1
Conflict Resolution,Shared space,My old friend keeps leaving a mess and it's bothering me.,Leave it as is until they notice the problem themselves.,Bring it up calmly in person and suggest a system that works for both of you.,1
Empathy,Public embarrassment,My old friend did something embarrassing in front of others.,"Help them move past it with a light, kind comment.",Pretend not to notice so they don't feel more embarrassed.,0
Setting Boundaries,Personal questions,My close friend keeps asking about my personal life in ways that feel intrusive.,Politely redirect the conversation and keep answers brief.,Answer fully each time so you don't seem unfriendly.,0
Assertiveness,Unreasonable request,My old friend asks for something that isn't reasonable given the timeline.,Explain what's realistic and propose an alternative timeline.,Agree to the timeline and rush to make it work anyway.,0
Conflict Resolution,Money dispute,My old friend owes me money and hasn't brought it up.,"Bring it up directly but kindly, mentioning the specific amount.",Drop hints about it and hope they take the hint.,0
Assertiveness,Overloaded schedule,My cousin keeps adding to my workload without checking capacity.,Take on everything without comment and try to work faster.,State clearly what's already on your plate and ask them to help prioritize.,1
Conflict Resolution,Credit dispute,My neighbor took credit for part of my idea.,Bring it up publicly so others hear the correction at once.,Talk to them privately first and explain how it affected you.,1
Assertiveness,Pressure to conform,My cousin is pressuring me to do something I'm not comfortable with.,Go along with it this once to avoid seeming judgmental.,"Say directly that you're not comfortable with it, without over-explaining.",1
Making Friends,New environment,I just started somewhere new with my teammate and want to build a friendship.,Show consistent interest over time and remember details they share.,Try to befriend the most popular person first to meet others faster.,0
Starting Conversations,Party small talk,I don't know what to say to my sibling at a party.,Talk mainly about your own week so they get to know you.,Ask what brought them there and follow their lead from there.,1
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my classmate and want to seem more engaged.,Keep your camera off so you can focus without distraction.,Look at the camera when speaking and nod occasionally.,1
Teamwork,Uneven workload,My coworker isn't doing their share of the work.,Talk to them privately about specific tasks and ask what's going on.,Quietly redo their part yourself so the project doesn't suffer.,0
Nonverbal Communication,Group photo moment,I want to seem approachable to my old friend in a group setting.,Stand slightly apart so you don't seem like you're intruding.,Keep an open stance and make brief eye contact with people as they talk.,1
Conflict Resolution,Broken promise,My close friend didn't follow through on something they promised.,Stop relying on them without saying anything about why.,"Mention it calmly and ask what happened, without assuming the worst.",1
Conflict Resolution,Repeated issue,My manager and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Active Listening,Emotional topic,My manager brings up something emotional and I want to respond well.,"Slow down, make eye contact, and let them finish before speaking.",Reassure them quickly that everything will be fine.,0
Workplace Communication,Meeting overload,My coworker keeps scheduling meetings that could be emails.,Attend all of them without raising the issue.,Suggest an async update as an alternative for some of them.,1
Nonverbal Communication,First meeting nerves,I'm nervous meeting my cousin and not sure how I'm coming across.,Fill every silence with talking so there's never an awkward pause.,Keep your posture open and let there be some comfortable pauses.,1
Handling Criticism,Repeated feedback,I keep getting the same feedback from my sibling and others.,Assume it's a coincidence since they don't know each other.,Take it as a real signal worth addressing.,1
Making Friends,New environment,I just started somewhere new with my old friend and want to build a friendship.,Show consistent interest over time and remember details they share.,Try to befriend the most popular person first to meet others faster.,0
Teamwork,Remote coordination,Communication with my sibling keeps slipping through the cracks remotely.,Send more frequent individual messages to make sure nothing is missed.,Propose a short regular check-in and a shared doc for updates.,1
Teamwork,Group decision fatigue,My mentor and the team keep re-deciding the same thing.,Suggest documenting the decision once it's made so it sticks.,Let the discussion happen again each time it comes up.,0
Nonverbal Communication,Silent agreement,My study partner nods but seems unsure during a conversation.,Check in directly to see if they actually agree or have concerns.,Take the nod as full agreement and move on.,0
Teamwork,Cross-functional friction,My old friend on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Handling Criticism,Criticism of a decision,My close friend criticizes a decision I already made.,"Hear them out and note it for future decisions, even if it's done.",Explain in detail why the decision was the only reasonable option.,0
Active Listening,Friend venting,My neighbor is venting to me about a hard day.,Share a similar hard day you had so they know you understand.,Put distractions away and ask a follow-up question before offering advice.,1
Workplace Communication,Cross-team request,I need something from my study partner on another team that isn't their priority.,Explain clearly why it matters and ask what timeline works.,Follow up frequently until they get to it.,0
Empathy,Difficult decision,My new employee is torn over a difficult decision.,Ask questions that help them think it through rather than telling them what to do.,Tell them clearly what you think they should do.,0
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my study partner and want to seem more engaged.,Look at the camera when speaking and nod occasionally.,Keep your camera off so you can focus without distraction.,0
Conflict Resolution,Miscommunication,My mentor misunderstood something I said and got upset.,Clarify what you meant calmly and ask how they took it.,Assume it will blow over on its own without addressing it.,0
Starting Conversations,Awkward silence,There's an awkward silence with my old friend and I don't know what to say.,Ask an open question about something you both just experienced.,Fill the silence by talking about yourself until it feels less awkward.,0
Empathy,Difficult decision,My manager is torn over a difficult decision.,Tell them clearly what you think they should do.,Ask questions that help them think it through rather than telling them what to do.,1
Conflict Resolution,Public disagreement,My teammate disagreed with me in front of others.,Push back just as strongly in front of the same group.,Stay calm in the moment and follow up with them privately after.,1
Setting Boundaries,Unsolicited advice,My sibling keeps giving advice about a decision that's mine to make.,"Thank them for caring, then state clearly you've got it handled.",Nod along and quietly do what you were going to do anyway.,0
Public Speaking,Toast or speech,I have to give a toast or speech in front of my teammate and don't know where to start.,Include as many jokes and stories as possible.,"Pick one specific, genuine memory and build the speech around it.",1
Public Speaking,Toast or speech,I have to give a toast or speech in front of my manager and don't know where to start.,Include as many jokes and stories as possible.,"Pick one specific, genuine memory and build the speech around it.",1
Active Listening,Important news,My cousin is telling me something important and I keep getting distracted.,Repeat back the main point to make sure you understood it.,Nod along while thinking about how you'll respond.,0
Teamwork,Cross-functional friction,My coworker on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Empathy,Fear of change,My new employee is scared about an upcoming change in their life.,Tell them there's nothing to worry about and it'll be fine.,Ask what specifically worries them before offering reassurance.,1
Active Listening,Important news,My coworker is telling me something important and I keep getting distracted.,Repeat back the main point to make sure you understood it.,Nod along while thinking about how you'll respond.,0
Starting Conversations,Group setting,I want to join a conversation my old friend is already having with others.,Wait for a full pause before jumping in with a new topic.,"Listen for a moment, then add something relevant to what's being said.",1
Active Listening,Upset call,My coworker calls me upset and I'm not sure what to say.,Offer solutions quickly so the problem feels handled.,Let them talk it out and ask what happened next instead of jumping to solutions.,1
Empathy,Feeling excluded,My mentor mentions feeling left out of a group.,"Validate the feeling before figuring out what, if anything, to do next.",Tell them they're overreacting and it's probably not personal.,0
Teamwork,New teammate,My study partner just joined the team and seems unsure of their role.,Check in directly and walk through how the team works.,Let them observe for a while so they can figure it out on their own.,0
Teamwork,Cross-functional friction,My roommate on another team isn't cooperating well with mine.,Set up a conversation to understand their constraints and priorities.,Escalate to management before trying to talk directly.,0
Teamwork,Cross-functional friction,My teammate on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Assertiveness,Being interrupted,My mentor keeps interrupting me when I talk.,Stop bringing up points so it doesn't happen again.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",1
Assertiveness,Pressure to conform,My close friend is pressuring me to do something I'm not comfortable with.,"Say directly that you're not comfortable with it, without over-explaining.",Go along with it this once to avoid seeming judgmental.,0
Making Friends,Group outings,I see my neighbor often in groups but never one-on-one.,Invite them to do something just the two of you.,Talk to everyone equally and let closer bonds form on their own.,0
Active Listening,Friend venting,My new employee is venting to me about a hard day.,Put distractions away and ask a follow-up question before offering advice.,Share a similar hard day you had so they know you understand.,0
Active Listening,Giving updates,My neighbor is giving me a project update I need to fully understand.,Take notes and summarize back the key points before responding.,Listen loosely since you can always ask questions later if needed.,0
Active Listening,Disagreement in meeting,My study partner is explaining an idea I disagree with in a meeting.,Prepare your counterpoints while they're still talking.,"Let them finish, then ask a clarifying question about the unclear part.",1
Conflict Resolution,Repeated issue,My teammate and I keep having the same argument about the same thing.,Sit down outside the heated moment and agree on a clear plan.,Bring up every past instance to show the pattern clearly.,0
Nonverbal Communication,Crossed arms,My teammate has their arms crossed and seems distant.,Mirror their crossed arms so the conversation feels balanced.,Soften your own body language and ask an open question.,1
Empathy,Public embarrassment,My mentor did something embarrassing in front of others.,"Help them move past it with a light, kind comment.",Pretend not to notice so they don't feel more embarrassed.,0
Assertiveness,Being interrupted,My close friend keeps interrupting me when I talk.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",Stop bringing up points so it doesn't happen again.,0
Nonverbal Communication,First meeting nerves,I'm nervous meeting my sibling and not sure how I'm coming across.,Keep your posture open and let there be some comfortable pauses.,Fill every silence with talking so there's never an awkward pause.,0
Starting Conversations,Meeting new people,I'm new to a group with my new employee and don't know how to start talking.,"Start with a simple question about what's going on around you, then build on their answer.",Wait for someone to notice you're new and approach you first.,0
Active Listening,Important news,My neighbor is telling me something important and I keep getting distracted.,Repeat back the main point to make sure you understood it.,Nod along while thinking about how you'll respond.,0
Active Listening,Upset call,My cousin calls me upset and I'm not sure what to say.,Let them talk it out and ask what happened next instead of jumping to solutions.,Offer solutions quickly so the problem feels handled.,0
Empathy,Public embarrassment,My new employee did something embarrassing in front of others.,"Help them move past it with a light, kind comment.",Pretend not to notice so they don't feel more embarrassed.,0
Conflict Resolution,Boundary crossed,My manager crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Empathy,Difficult decision,My study partner is torn over a difficult decision.,Tell them clearly what you think they should do.,Ask questions that help them think it through rather than telling them what to do.,1
Setting Boundaries,Family expectations,My cousin expects me at every gathering even when I'm exhausted.,Attend every one to avoid a difficult conversation.,Let them know in advance which ones you can make and why.,1
Workplace Communication,Disagreeing publicly,My mentor says something inaccurate in a meeting with others present.,Note it calmly in the meeting or follow up privately after.,Correct them firmly in front of everyone right away.,0
Setting Boundaries,After-hours messages,My teammate keeps messaging me about work late at night.,Reply right away every time so they know you're available.,Let them know you'll respond first thing in the morning unless urgent.,1
Workplace Communication,Giving feedback up,"I need to give feedback to my mentor, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Handling Criticism,Group critique,My coworker criticizes my idea in front of the whole group.,Respond calmly in the moment and reflect on it more afterward.,Defend the idea strongly right there to save face.,0
Workplace Communication,Requesting time off,I need to ask my teammate for time off during a busy period.,Ask at the last minute and let them figure out coverage.,Give as much notice as possible and offer a coverage plan.,1
Active Listening,Feedback session,My classmate is giving me feedback I didn't expect.,Explain your reasoning as soon as a point doesn't sit right with you.,"Listen fully before responding, even if you want to explain yourself.",1
Conflict Resolution,Repeated issue,My roommate and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Active Listening,Friend venting,My close friend is venting to me about a hard day.,Put distractions away and ask a follow-up question before offering advice.,Share a similar hard day you had so they know you understand.,0
Starting Conversations,New coworker,My new employee just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Handling Criticism,Group critique,My manager criticizes my idea in front of the whole group.,Respond calmly in the moment and reflect on it more afterward.,Defend the idea strongly right there to save face.,0
Conflict Resolution,Shared space,My close friend keeps leaving a mess and it's bothering me.,Bring it up calmly in person and suggest a system that works for both of you.,Leave it as is until they notice the problem themselves.,0
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my new employee at work.,Bring it up casually in a group setting to soften it.,Choose a private setting and lead with the specific concern.,1
Nonverbal Communication,Comforting someone,My study partner is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Public Speaking,Pitching an idea,I'm pitching an idea to my teammate and want it to land well.,Open with every detail of the solution so nothing is missed.,Open with the problem and why it matters before the solution.,1
Workplace Communication,Asking for more,I want to ask my study partner for a raise or more responsibility.,Mention it casually in passing to keep things low-pressure.,Schedule a dedicated conversation with specific examples ready.,1
